skill_id,skill_name,curriculum_coverage,industry_demand,job_posting_frequency,practical_exposure,event_timestamp
1,Java,90,94,92,88,2026-08-01T00:00:00Z
2,Spring Boot,65,95,93,60,2026-08-01T00:00:00Z
3,REST APIs,72,91,90,70,2026-08-01T00:00:00Z
4,Microservices,55,94,88,48,2026-08-01T00:00:00Z
5,SQL,84,90,86,80,2026-08-01T00:00:00Z
6,PostgreSQL,62,83,78,55,2026-08-01T00:00:00Z
7,MongoDB,58,76,72,50,2026-08-01T00:00:00Z
8,Docker,45,89,86,42,2026-08-01T00:00:00Z
9,Kubernetes,35,92,84,30,2026-08-01T00:00:00Z
10,AWS,48,91,89,40,2026-08-01T00:00:00Z
11,Git,86,88,85,82,2026-08-01T00:00:00Z
12,CI/CD,42,87,81,38,2026-08-01T00:00:00Z
13,JUnit,70,79,75,68,2026-08-01T00:00:00Z
14,Mockito,54,70,66,45,2026-08-01T00:00:00Z
15,React,52,85,83,47,2026-08-01T00:00:00Z
16,JavaScript,68,86,84,64,2026-08-01T00:00:00Z
17,Data Structures,82,89,87,78,2026-08-01T00:00:00Z
18,System Design,38,90,82,32,2026-08-01T00:00:00Z
19,Machine Learning,30,78,70,25,2026-08-01T00:00:00Z
20,Generative AI,18,88,80,15,2026-08-01T00:00:00Z
